timestamp,dataset,model_name,configuration_id,run_id,base_configuration_id,feature_family,classifier_family,architecture_family,model_group,is_classical,train_seed,train_fraction,model_size,param_count,train_time_sec,best_val_acc,model_params,clean_accuracy,clean_macro_f1,clean_balanced_accuracy
2026-06-20T12:39:37+0000,UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,2888839,9.333099365234375,0.9597989949748744,"{""dropout"": 0.1, ""hidden"": [128, 64]}",0.9518072289156626,0.9336932001208963,0.9370494539916454
2026-06-20T12:40:29+0000,UT_HAR,deep__MLP__small__seed123,deep__MLP__small__seed123,deep__MLP__small__seed123,deep__MLP__small,deep,deep,MLP,MLP,False,123,1.0,small,2888839,9.01528549194336,0.9447236180904522,"{""dropout"": 0.1, ""hidden"": [128, 64]}",0.9497991967871486,0.9277939458973078,0.9299406408142575
2026-06-20T12:41:23+0000,UT_HAR,deep__MLP__small__seed2026,deep__MLP__small__seed2026,deep__MLP__small__seed2026,deep__MLP__small,deep,deep,MLP,MLP,False,2026,1.0,small,2888839,10.326348066329956,0.9631490787269682,"{""dropout"": 0.1, ""hidden"": [128, 64]}",0.9497991967871486,0.9295933834773175,0.931503630012772
2026-06-20T12:42:16+0000,UT_HAR,deep__MLP__medium__seed42,deep__MLP__medium__seed42,deep__MLP__medium__seed42,deep__MLP__medium,deep,deep,MLP,MLP,False,42,1.0,medium,5794055,9.190366506576538,0.9597989949748744,"{""dropout"": 0.2, ""hidden"": [256, 128]}",0.9467871485943775,0.9265243227274539,0.929163191515686
2026-06-20T12:43:13+0000,UT_HAR,deep__MLP__medium__seed123,deep__MLP__medium__seed123,deep__MLP__medium__seed123,deep__MLP__medium,deep,deep,MLP,MLP,False,123,1.0,medium,5794055,10.750224351882935,0.9530988274706867,"{""dropout"": 0.2, ""hidden"": [256, 128]}",0.9397590361445783,0.9185823868994207,0.9243474995388564
2026-06-20T12:44:10+0000,UT_HAR,deep__MLP__medium__seed2026,deep__MLP__medium__seed2026,deep__MLP__medium__seed2026,deep__MLP__medium,deep,deep,MLP,MLP,False,2026,1.0,medium,5794055,11.510276079177856,0.9547738693467337,"{""dropout"": 0.2, ""hidden"": [256, 128]}",0.9367469879518072,0.9062905405548778,0.904195039728731
2026-06-20T12:45:08+0000,UT_HAR,deep__MLP__large__seed42,deep__MLP__large__seed42,deep__MLP__large__seed42,deep__MLP__large,deep,deep,MLP,MLP,False,42,1.0,large,11685639,12.986573457717896,0.9631490787269682,"{""dropout"": 0.3, ""hidden"": [512, 256, 128]}",0.9467871485943775,0.9340556405388233,0.9399897356732595
2026-06-20T12:46:07+0000,UT_HAR,deep__MLP__large__seed123,deep__MLP__large__seed123,deep__MLP__large__seed123,deep__MLP__large,deep,deep,MLP,MLP,False,123,1.0,large,11685639,12.592451572418213,0.9530988274706867,"{""dropout"": 0.3, ""hidden"": [512, 256, 128]}",0.9407630522088354,0.9254474044924595,0.9326036378706242
2026-06-20T12:47:04+0000,UT_HAR,deep__MLP__large__seed2026,deep__MLP__large__seed2026,deep__MLP__large__seed2026,deep__MLP__large,deep,deep,MLP,MLP,False,2026,1.0,large,11685639,11.846923589706421,0.9581239530988275,"{""dropout"": 0.3, ""hidden"": [512, 256, 128]}",0.929718875502008,0.9032520526718099,0.9085331242468155
2026-06-20T12:48:08+0000,UT_HAR,deep__CNN__small__seed42,deep__CNN__small__seed42,deep__CNN__small__seed42,deep__CNN__small,deep,deep,CNN,CNN,False,42,1.0,small,5127,18.649231672286987,0.7386934673366834,"{""blocks"": 2, ""channels"": [16, 32]}",0.7299196787148594,0.5854270696836711,0.5877184351316552
