dataset,model_name,configuration_id,run_id,base_configuration_id,feature_family,classifier_family,architecture_family,model_group,is_classical,train_seed,train_fraction,model_size,metric,clean_metric,mPC_metric,predicted_mPC,CSI_ER,CSI_ER_ci_low,CSI_ER_ci_high,bootstrap_success_rate,status,n_unique_configs,cv_r2,slope,support_min,support_max,target_in_support,bootstrap_ci_low,bootstrap_ci_high,reasons
UT_HAR,autocorrelation__extra_trees__large__frac_0.20,autocorrelation__extra_trees__large__frac_0.20,autocorrelation__extra_trees__large__frac_0.20__seed3407,autocorrelation__extra_trees__large,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.2,large,macro_f1,0.3354626324772257,0.2827857370420771,0.3602556222201122,-0.0774698851780351,-0.28180390150859996,0.03356186435985275,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.28180390150859996,0.03356186435985275,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__large__frac_0.40,autocorrelation__extra_trees__large__frac_0.40,autocorrelation__extra_trees__large__frac_0.40__seed3407,autocorrelation__extra_trees__large,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.4,large,macro_f1,0.3126845022683108,0.2839781325377133,0.34641719015378025,-0.06243905761606694,-0.27299235395396276,0.04996791320331437,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.27299235395396276,0.04996791320331437,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__large__frac_0.60,autocorrelation__extra_trees__large__frac_0.60,autocorrelation__extra_trees__large__frac_0.60__seed3407,autocorrelation__extra_trees__large,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.6,large,macro_f1,0.3166645493809291,0.29096962773260027,0.34885043471237753,-0.057880806979777266,-0.2673500134955771,0.05436503997258785,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.2673500134955771,0.05436503997258785,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__large__frac_0.80,autocorrelation__extra_trees__large__frac_0.80,autocorrelation__extra_trees__large__frac_0.80__seed3407,autocorrelation__extra_trees__large,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.8,large,macro_f1,0.3112750421235635,0.2924826093977674,0.34555383268360423,-0.053071223285836855,-0.2640081717408652,0.0593892428575041,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.2640081717408652,0.0593892428575041,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__large__frac_1.00,autocorrelation__extra_trees__large__frac_1.00,autocorrelation__extra_trees__large__frac_1.00__seed3407,autocorrelation__extra_trees__large,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,1.0,large,macro_f1,0.3307800596422997,0.29956319931567554,0.3574273047839367,-0.05786410546826115,-0.26347964580411015,0.05361233750062558,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.26347964580411015,0.05361233750062558,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__medium__frac_0.20,autocorrelation__extra_trees__medium__frac_0.20,autocorrelation__extra_trees__medium__frac_0.20__seed3407,autocorrelation__extra_trees__medium,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.2,medium,macro_f1,0.34194865686204,0.29427651680846806,0.36416045114606144,-0.06988393433759338,-0.2724401929382795,0.04065078238276316,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.2724401929382795,0.04065078238276316,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__medium__frac_0.40,autocorrelation__extra_trees__medium__frac_0.40,autocorrelation__extra_trees__medium__frac_0.40__seed3407,autocorrelation__extra_trees__medium,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.4,medium,macro_f1,0.3467381444750222,0.30713657594801846,0.3670348739756905,-0.05989829802767205,-0.2611397726584267,0.05036808096663989,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.2611397726584267,0.05036808096663989,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__medium__frac_0.60,autocorrelation__extra_trees__medium__frac_0.60,autocorrelation__extra_trees__medium__frac_0.60__seed3407,autocorrelation__extra_trees__medium,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.6,medium,macro_f1,0.3530341701081815,0.3136634815772676,0.37080248284213657,-0.05713900126486898,-0.2566494351963921,0.052559080517830904,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.2566494351963921,0.052559080517830904,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__medium__frac_0.80,autocorrelation__extra_trees__medium__frac_0.80,autocorrelation__extra_trees__medium__frac_0.80__seed3407,autocorrelation__extra_trees__medium,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,0.8,medium,macro_f1,0.3761367673091749,0.3247021478760904,0.3845332206737785,-0.05983107279768807,-0.2529988348211509,0.04884601898827688,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.2529988348211509,0.04884601898827688,['target clean metric outside reference support']
UT_HAR,autocorrelation__extra_trees__medium__frac_1.00,autocorrelation__extra_trees__medium__frac_1.00,autocorrelation__extra_trees__medium__frac_1.00__seed3407,autocorrelation__extra_trees__medium,autocorrelation,tree_ensemble,classical,tree_ensemble,True,3407,1.0,medium,macro_f1,0.36421903690288,0.3229987063329204,0.3774673039180574,-0.054468597585137,-0.25090533928963754,0.054831046815523976,1.0,OUT_OF_SUPPORT,54,0.413353248639586,0.5875319166001419,0.5413336524190788,0.9853667416509752,False,-0.25090533928963754,0.054831046815523976,['target clean metric outside reference support']
