configuration_id,accuracy,macro_f1,balanced_accuracy,corruption,severity,corruption_seed
widar__time_stats__logistic_regression,0.0954766676209562,0.011109324946858188,0.04640261132647206,gaussian_snr,1,42
widar__time_stats__logistic_regression,0.09375894646435728,0.010346696107074572,0.04560147912301777,gaussian_snr,2,42
widar__time_stats__logistic_regression,0.09390208989407386,0.01029685383199516,0.04567170695836014,gaussian_snr,3,42
widar__time_stats__logistic_regression,0.09318637274549098,0.010208712773085925,0.045330968236811826,gaussian_snr,4,42
widar__time_stats__logistic_regression,0.09232751216719152,0.010652303084632476,0.044909601224757595,gaussian_snr,5,42
widar__time_stats__logistic_regression,0.19052390495276267,0.07572562120568951,0.09429750812656984,subcarrier_mask,1,42
widar__time_stats__logistic_regression,0.15903235041511596,0.06666627132361382,0.07991687136829434,subcarrier_mask,2,42
widar__time_stats__logistic_regression,0.03993701689092471,0.010486379760615448,0.0540862495605888,subcarrier_mask,3,42
widar__time_stats__logistic_regression,0.05582593758946464,0.019540576449631416,0.05444740776608137,subcarrier_mask,4,42
widar__time_stats__logistic_regression,0.08946464357286,0.03381098878397619,0.05625576581282085,subcarrier_mask,5,42
widar__time_stats__logistic_regression,0.11107930146006298,0.05086971864262308,0.06441657240824573,time_dropout,1,42
widar__time_stats__logistic_regression,0.08187804179788148,0.03496054655523272,0.05469498293417547,time_dropout,2,42
widar__time_stats__logistic_regression,0.0602633839106785,0.028684842959112677,0.044137246001244225,time_dropout,3,42
widar__time_stats__logistic_regression,0.05425135986258231,0.0286175365256093,0.049765350132372516,time_dropout,4,42
widar__time_stats__logistic_regression,0.0525336387059834,0.018530510664437973,0.05018808914512358,time_dropout,5,42
widar__time_stats__logistic_regression,0.08044660750071572,0.013653184209839398,0.04469995197351722,amplitude_scaling,1,42
widar__time_stats__logistic_regression,0.08030346407099914,0.013273327876305712,0.044664593727692985,amplitude_scaling,2,42
widar__time_stats__logistic_regression,0.08016032064128256,0.013101199218723564,0.04458883615193542,amplitude_scaling,3,42
widar__time_stats__logistic_regression,0.07987403378184942,0.012816783010882026,0.044454803517902784,amplitude_scaling,4,42
widar__time_stats__logistic_regression,0.07973089035213284,0.012649741784504419,0.04437904594214521,amplitude_scaling,5,42
widar__time_stats__logistic_regression,0.1898081878041798,0.07654610526350183,0.09410481853584196,contiguous_subcarrier_block,1,42
widar__time_stats__logistic_regression,0.15731462925851702,0.0658548528636936,0.07837000716405224,contiguous_subcarrier_block,2,42
widar__time_stats__logistic_regression,0.03850558259375895,0.013006150681568173,0.0476134477250024,contiguous_subcarrier_block,3,42
widar__time_stats__logistic_regression,0.05239049527626682,0.020494800113772433,0.05288980652103317,contiguous_subcarrier_block,4,42
widar__time_stats__logistic_regression,0.07658173489836817,0.02917933585832604,0.04852420725432626,contiguous_subcarrier_block,5,42
widar__time_stats__logistic_regression,0.11107930146006298,0.05086971864262308,0.06441657240824573,burst_time_dropout,1,42
widar__time_stats__logistic_regression,0.09447466361294017,0.04351560656760268,0.05671319539246205,burst_time_dropout,2,42
widar__time_stats__logistic_regression,0.048668766103635845,0.020061565011997344,0.04784580736967179,burst_time_dropout,3,42
widar__time_stats__logistic_regression,0.04308617234468938,0.017368480328651636,0.04839432041893443,burst_time_dropout,4,42
widar__time_stats__logistic_regression,0.04208416833667335,0.01219371695828026,0.04428677574531973,burst_time_dropout,5,42
widar__time_stats__logistic_regression,0.07014028056112225,0.02520043553098986,0.05129367566841219,smooth_gain_drift,1,42
widar__time_stats__logistic_regression,0.06971085027197252,0.025542995866955475,0.0510857827861007,smooth_gain_drift,2,42
widar__time_stats__logistic_regression,0.06971085027197252,0.025533809601199144,0.05100427074634342,smooth_gain_drift,3,42
widar__time_stats__logistic_regression,0.06971085027197252,0.025475196413803258,0.05111003619301797,smooth_gain_drift,4,42
widar__time_stats__logistic_regression,0.0698539937016891,0.025490558845987964,0.05137328698264471,smooth_gain_drift,5,42
widar__time_stats__logistic_regression,0.09619238476953908,0.01163656913312647,0.04724130403085984,gaussian_snr,1,123
widar__time_stats__logistic_regression,0.09504723733180646,0.010987681180266799,0.04721695706058176,gaussian_snr,2,123
widar__time_stats__logistic_regression,0.09347265960492414,0.010526791208827472,0.04697776640221116,gaussian_snr,3,123
widar__time_stats__logistic_regression,0.09332951617520756,0.01037795035382006,0.04690961865790149,gaussian_snr,4,123
widar__time_stats__logistic_regression,0.09318637274549098,0.01079652427210955,0.047837378879270726,gaussian_snr,5,123
widar__time_stats__logistic_regression,0.19395934726596048,0.07928678120878242,0.09648704560114231,subcarrier_mask,1,123
widar__time_stats__logistic_regression,0.15373604351560263,0.06410189255490091,0.07729025981942085,subcarrier_mask,2,123
widar__time_stats__logistic_regression,0.03778986544517607,0.008504483453113849,0.05109968922754801,subcarrier_mask,3,123
widar__time_stats__logistic_regression,0.05439450329229888,0.019716904739764576,0.05357700570964213,subcarrier_mask,4,123
widar__time_stats__logistic_regression,0.08932150014314343,0.033557025826259156,0.05450550056885862,subcarrier_mask,5,123
widar__time_stats__logistic_regression,0.11236759232751217,0.052171790512089776,0.06737308204462192,time_dropout,1,123
widar__time_stats__logistic_regression,0.07930146006298311,0.03483225413199775,0.05362727631774085,time_dropout,2,123
widar__time_stats__logistic_regression,0.06613226452905811,0.03283521404714491,0.04836953247985685,time_dropout,3,123
widar__time_stats__logistic_regression,0.051388491268250784,0.02681021573807152,0.04757459143316454,time_dropout,4,123
widar__time_stats__logistic_regression,0.04823933581448611,0.016952028862531967,0.04463669648338545,time_dropout,5,123
widar__time_stats__logistic_regression,0.08517034068136273,0.015302670788267818,0.04686991963121376,amplitude_scaling,1,123
widar__time_stats__logistic_regression,0.08402519324363011,0.013940282638501727,0.0463359506821642,amplitude_scaling,2,123
widar__time_stats__logistic_regression,0.08402519324363011,0.013817243116706918,0.04633803077319691,amplitude_scaling,3,123
widar__time_stats__logistic_regression,0.08402519324363011,0.013809021628736727,0.04633803077319691,amplitude_scaling,4,123
widar__time_stats__logistic_regression,0.08388204981391355,0.013535226376817762,0.046264353288472046,amplitude_scaling,5,123
widar__time_stats__logistic_regression,0.18837675350701402,0.07568269695205075,0.09332686649501962,contiguous_subcarrier_block,1,123
widar__time_stats__logistic_regression,0.1551674778127684,0.06439697812775286,0.07689472951909988,contiguous_subcarrier_block,2,123
widar__time_stats__logistic_regression,0.039650730031491555,0.01322579564440139,0.05150533619330615,contiguous_subcarrier_block,3,123
widar__time_stats__logistic_regression,0.047809905525336385,0.018235387640521416,0.04940730912179747,contiguous_subcarrier_block,4,123
widar__time_stats__logistic_regression,0.08302318923561408,0.03229604454380836,0.04951851864556267,contiguous_subcarrier_block,5,123
widar__time_stats__logistic_regression,0.11236759232751217,0.052171790512089776,0.06737308204462192,burst_time_dropout,1,123
widar__time_stats__logistic_regression,0.09375894646435728,0.04131836836590741,0.056399597563340786,burst_time_dropout,2,123
widar__time_stats__logistic_regression,0.041941024906956774,0.0178945073131774,0.042739874763842126,burst_time_dropout,3,123
widar__time_stats__logistic_regression,0.037503578585742915,0.014819791762999907,0.044139464667463095,burst_time_dropout,4,123
widar__time_stats__logistic_regression,0.03907815631262525,0.011493694146480833,0.04325862520032877,burst_time_dropout,5,123
widar__time_stats__logistic_regression,0.0698539937016891,0.023458788339745528,0.04615926704662001,smooth_gain_drift,1,123
widar__time_stats__logistic_regression,0.06885198969367307,0.022815582671343985,0.04632361247920013,smooth_gain_drift,2,123
widar__time_stats__logistic_regression,0.06827941597480676,0.022485282184910117,0.0460383223811202,smooth_gain_drift,3,123
widar__time_stats__logistic_regression,0.06827941597480676,0.022532107875689582,0.04611775432984477,smooth_gain_drift,4,123
widar__time_stats__logistic_regression,0.06870884626395649,0.02272078034942913,0.04653394418356018,smooth_gain_drift,5,123
widar__time_stats__logistic_regression,0.09476095047237332,0.01071157101316975,0.046070192969054576,gaussian_snr,1,2026
widar__time_stats__logistic_regression,0.09404523332379044,0.010272791252883712,0.04573985470266981,gaussian_snr,2,2026
widar__time_stats__logistic_regression,0.09132550815917549,0.009429867309750754,0.04395333385104488,gaussian_snr,3,2026
widar__time_stats__logistic_regression,0.09060979101059262,0.009688573008112973,0.044110549112336014,gaussian_snr,4,2026
widar__time_stats__logistic_regression,0.09089607787002577,0.010589163391530893,0.0452344322025034,gaussian_snr,5,2026
