dataset,model_name,configuration_id,run_id,base_configuration_id,feature_family,classifier_family,architecture_family,model_group,is_classical,train_seed,train_fraction,model_size,accuracy,macro_f1,balanced_accuracy,corruption,severity,corruption_seed,condition_id
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,gaussian_snr,1,42,gaussian_snr__s1__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,gaussian_snr,2,42,gaussian_snr__s2__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9334658895179146,0.9370494539916454,gaussian_snr,3,42,gaussian_snr__s3__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9538152610441767,0.9356829396635797,0.9390827742067839,gaussian_snr,4,42,gaussian_snr__s4__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9538152610441767,0.9374804185021769,0.940937127541023,gaussian_snr,5,42,gaussian_snr__s5__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9317269076305221,0.9163235081705714,0.9201175108631556,subcarrier_mask,1,42,subcarrier_mask__s1__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.8865461847389559,0.8692647615514597,0.8749382297037064,subcarrier_mask,2,42,subcarrier_mask__s2__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.7841365461847389,0.7529161047822086,0.759940251139138,subcarrier_mask,3,42,subcarrier_mask__s3__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.7158634538152611,0.6865385871635047,0.7037200884239242,subcarrier_mask,4,42,subcarrier_mask__s4__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.5853413654618473,0.5458262678657558,0.5631328927110958,subcarrier_mask,5,42,subcarrier_mask__s5__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9538152610441767,0.9368394392225949,0.9408343758093541,time_dropout,1,42,time_dropout__s1__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9508032128514057,0.9316370722595486,0.9349655322460197,time_dropout,2,42,time_dropout__s2__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9348974331005585,0.9375129560840648,time_dropout,3,42,time_dropout__s3__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9477911646586346,0.9319017245726814,0.9366168537513108,time_dropout,4,42,time_dropout__s4__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9447791164658634,0.9241894875153578,0.925890144266762,time_dropout,5,42,time_dropout__s5__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,amplitude_scaling,1,42,amplitude_scaling__s1__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,amplitude_scaling,2,42,amplitude_scaling__s2__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,amplitude_scaling,3,42,amplitude_scaling__s3__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,amplitude_scaling,4,42,amplitude_scaling__s4__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.9518072289156626,0.9336932001208963,0.9370494539916454,amplitude_scaling,5,42,amplitude_scaling__s5__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.8463855421686747,0.8323847723897234,0.8394484903284898,contiguous_subcarrier_block,1,42,contiguous_subcarrier_block__s1__seed42
UT_HAR,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small__seed42,deep__MLP__small,deep,deep,MLP,MLP,False,42,1.0,small,0.678714859437751,0.6587718114075874,0.6886070282990341,contiguous_subcarrier_block,2,42,contiguous_subcarrier_block__s2__seed42
